Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-60.264305,-44.056484,-80.0,0.3379906,15.150401592254639,27.258032718692007
Low-Mid,-74.08312,-43.43919,-80.0,0.13201079,23.93360137939453,29.931096862838615
Low-High,-74.35078,-39.906235,-80.0,0.13191435,27.47290849685669,27.560002676646906
Mid-Low,-69.00544,-15.341469,-80.0,1.5062451,30.88559865951538,26.83271713130924
Mid-Mid,-57.03721,0.0,-80.0,8.868727,30.82775354385376,26.87944084269794
Mid-High,-54.688473,-0.23789978,-80.0,5.869825,34.17457818984985,26.901095555666068
High-Low,-55.185963,-9.571438,-80.0,2.315833,32.919394969940186,32.220524018952865
High-Mid,-68.42967,-13.531822,-80.0,0.64697987,40.035338401794434,38.95311928646615
High-High,-76.407616,-30.710072,-80.0,0.12230637,37.32592821121216,33.22461821537492
Overall Song,-74.95909,0.0,-80.0,1.4587164,46.505560874938965,25.057075023651123
