Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-12.284111,-1.7021923,-43.45935,15.083062,6.097366809844971,8.676421166139942
Low-Mid,-9.096653,-1.9073486e-06,-35.46001,21.145195,4.865114688873291,14.221894753108124
Low-High,-16.944527,-1.8619995,-41.289253,9.132063,10.295971632003784,13.476333963786391
Mid-Low,-25.04864,-7.3350296,-57.339844,4.320267,11.324106454849243,17.067930134973682
Mid-Mid,-33.70312,-12.800507,-63.02404,1.8762088,13.103218078613281,16.67586757539151
Mid-High,-41.079548,-11.100622,-73.352745,1.2895722,18.059812784194946,23.895994046049786
High-Low,-54.959072,-22.599648,-80.0,0.21419488,22.153520584106445,23.73346635779019
High-Mid,-60.20959,-26.037302,-80.0,0.1933232,19.606367349624634,23.935264442683675
High-High,-69.2236,-27.423456,-80.0,0.14044157,20.99597930908203,24.356507582553675
Overall Song,-70.424774,-1.9073486e-06,-80.0,1.0268855,31.138908863067627,10.8901846408844
