Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-26.950544,-0.23870468,-52.6737,10.34045,13.387064933776855,16.800011558311706
Low-Mid,-25.226822,-3.8146973e-06,-55.459667,11.058285,13.04280400276184,16.62178969693128
Low-High,-28.674564,-2.7987118,-51.87844,7.3927326,13.741748332977295,19.889179369851263
Mid-Low,-33.509598,-2.2490253,-73.89757,4.285916,19.026663303375244,19.73314560853411
Mid-Mid,-37.53898,-12.203049,-67.86511,1.8623018,16.31251096725464,23.65682204163583
Mid-High,-39.314888,-16.084354,-80.0,1.4248825,14.756625890731812,22.55337553141427
High-Low,-60.833607,-23.600069,-80.0,0.1779154,25.31222105026245,17.8488112192395
High-Mid,-75.09674,-51.81598,-80.0,0.015788402,18.133821487426758,34.89860203372758
High-High,-79.57183,-62.64913,-80.0,0.004111233,18.987984657287598,25.9192909550623
Overall Song,-76.007095,-3.8146973e-06,-80.0,0.76819974,36.207075119018555,13.042417764663696
