Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-22.965462,-9.987066,-49.346046,4.1128616,8.026344776153564,11.48094900092107
Low-Mid,-18.710712,-3.5940914,-44.038498,8.21083,8.414461612701416,13.63676333225656
Low-High,-21.152977,-1.9073486e-06,-47.468536,8.221692,11.997067928314209,17.3947131700048
Mid-Low,-27.213821,-1.7261868,-61.59615,3.6364646,17.35651731491089,14.3984574472047
Mid-Mid,-33.30903,-13.887983,-62.486107,1.501203,12.87952184677124,15.38287171836275
Mid-High,-33.534252,-9.522261,-75.00187,1.6074907,16.651065349578857,17.16226953455032
High-Low,-58.63284,-27.29117,-80.0,0.12567843,21.019906997680664,22.62937715141407
High-Mid,-69.37821,-39.101887,-80.0,0.029130254,21.907522678375244,29.232424299792275
High-High,-77.225655,-44.97917,-80.0,0.0098864045,25.41635274887085,29.92554525883015
Overall Song,-74.29187,-1.9073486e-06,-80.0,0.6269429,34.35173273086548,12.868126630783081
