Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-25.464058,-9.287266,-71.47406,5.91161,9.102702736854553,13.085921792453604
Low-Mid,-20.392921,-3.4815083,-58.12482,11.421686,9.187971353530884,15.545178297599708
Low-High,-22.146622,0.0,-62.050453,12.445755,11.923660039901733,15.391714669210813
Mid-Low,-25.917631,-1.0178452,-65.26672,6.9697156,15.941941738128662,16.427580868804075
Mid-Mid,-31.222023,-9.187588,-80.0,3.2108712,14.504039287567139,19.5846040532474
Mid-High,-36.797073,-11.377171,-76.15442,1.9069811,16.83998465538025,29.72200172452744
High-Low,-55.48827,-15.000946,-80.0,0.4403862,25.94646453857422,25.860537334455557
High-Mid,-63.41676,-22.20179,-80.0,0.25231397,23.58346939086914,26.171568542749753
High-High,-71.40988,-24.40684,-80.0,0.13880825,26.568939685821533,28.05932238065904
Overall Song,-71.66954,0.0,-80.0,1.0146936,33.69738578796387,17.498116493225098
