Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-25.301943,-2.94059,-56.979343,10.058051,14.3861722946167,16.497805873205543
Low-Mid,-19.953276,0.0,-48.572834,16.50898,13.022632598876953,15.09362615776386
Low-High,-20.575794,-1.4945145,-48.842567,15.124405,12.288956642150879,13.428981821930844
Mid-Low,-23.251347,-3.1027145,-61.25644,11.867446,12.787177562713623,18.374962036416576
Mid-Mid,-30.715635,-9.199341,-70.51667,4.9082365,14.359186887741089,17.18489066651427
Mid-High,-37.32463,-10.3853,-80.0,2.4063768,19.364463090896606,21.468817272545184
High-Low,-48.812843,-16.837923,-80.0,0.83450943,22.110490798950195,26.430715435636184
High-Mid,-59.95286,-24.064709,-80.0,0.24817055,25.417325496673584,29.658451486353947
High-High,-70.130066,-26.882576,-80.0,0.13291882,28.022730350494385,29.49963598302926
Overall Song,-70.46097,0.0,-80.0,1.5026096,33.84011507034302,14.096993207931519
