Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-24.010569,-2.9803581,-61.476395,8.989041,15.374035835266113,17.440176544257415
Low-Mid,-19.00346,0.0,-48.97769,15.171845,13.807892799377441,16.147377571682394
Low-High,-21.085096,-3.0242538,-56.932854,15.025363,10.867910385131836,16.02208264494481
Mid-Low,-24.739607,-5.05048,-66.09396,9.661602,12.677196264266968,18.908288333355003
Mid-Mid,-31.975338,-8.719208,-78.78835,4.233791,16.174867153167725,18.039545974525645
Mid-High,-38.607285,-11.515205,-80.0,2.2027783,19.05403971672058,24.09100554130933
High-Low,-48.619087,-17.0406,-80.0,0.8100314,22.218024730682373,24.76497977405705
High-Mid,-59.130672,-25.25294,-80.0,0.29511082,22.77601957321167,27.28511486518903
High-High,-68.64829,-25.277998,-80.0,0.22985514,24.921579360961914,26.4813421049239
Overall Song,-69.95428,0.0,-80.0,1.334335,34.923362731933594,16.832863092422485
