Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-15.89285,-3.4041293,-32.94134,0.53056055,6.890934705734253,14.088351897747666
Low-Mid,-15.093938,-5.147853,-30.520052,0.47615921,6.08686625957489,18.830962348279876
Low-High,-23.36874,-14.003628,-41.81265,0.1826968,5.551515817642212,18.917778048324195
Mid-Low,-29.327915,-18.054573,-56.29317,0.082923785,8.361607789993286,20.132173999156336
Mid-Mid,-29.913494,-12.133337,-58.25699,0.10248255,12.443426847457886,15.077089756315274
Mid-High,-20.771484,0.0,-50.053795,0.34091985,14.136717319488525,15.052087539912133
High-Low,-36.196556,-5.4365954,-71.68386,0.10932914,18.578449487686157,19.74118749823679
High-Mid,-40.944794,-20.208824,-80.0,0.033348422,14.119433164596558,15.995177447280607
High-High,-58.046684,-32.640774,-80.0,0.0048383935,18.45496416091919,13.205729341102568
Overall Song,-56.164974,0.0,-80.0,0.06640477,28.345777988433838,15.651360750198364
