Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-15.682442,-6.3882036,-26.175735,0.8693657,6.754488945007324,8.541197345498801
Low-Mid,-14.436819,-6.5278707,-24.589836,0.9430502,5.908175706863403,10.881053756508436
Low-High,-20.475086,-4.1321144,-42.3825,0.79840493,9.750164151191711,10.985467372030648
Mid-Low,-25.997824,-12.204556,-52.10035,0.32621676,9.452060461044312,13.362452868220734
Mid-Mid,-27.41759,-8.347548,-55.227303,0.368769,12.244106531143188,15.850527946312445
Mid-High,-26.930845,0.0,-64.861176,0.89043987,12.934651374816895,18.816505899999413
High-Low,-38.010944,-6.4698114,-72.28804,0.24108018,17.813701629638672,20.103781628472408
High-Mid,-41.572014,-17.16807,-80.0,0.097542755,14.974772930145264,24.228538579291214
High-High,-58.03438,-27.97571,-80.0,0.017712437,18.98546576499939,28.436920291244874
Overall Song,-58.56777,0.0,-80.0,0.16954346,27.3411226272583,15.89919924736023
