Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-37.38493,-16.72548,-73.39285,1.180366,13.272608518600464,16.588338529219445
Low-Mid,-35.68495,-14.213558,-68.03659,1.5462794,13.439105749130249,13.293441957300448
Low-High,-34.41765,-15.426044,-73.62039,1.9134394,10.376085042953491,14.003911394293764
Mid-Low,-30.388117,0.0,-80.0,8.3097925,13.046618700027466,13.48990013009441
Mid-Mid,-47.987537,-15.996185,-80.0,0.8506069,16.84765934944153,18.526267282077697
Mid-High,-52.52696,-13.076092,-80.0,0.6712615,21.824498176574707,21.03423257897246
High-Low,-58.067448,-20.33601,-80.0,0.2808409,22.133207321166992,27.89505126257417
High-Mid,-64.86431,-20.856844,-80.0,0.19245397,24.89504098892212,27.696774727168858
High-High,-73.70886,-28.958332,-80.0,0.05824371,27.175111770629883,26.979320799064453
Overall Song,-73.31048,0.0,-80.0,0.71573114,34.34342384338379,14.094140529632568
