Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-39.945854,-17.265747,-62.27483,1.5126032,11.494181156158447,18.217155279830664
Low-Mid,-38.297142,-11.487808,-76.797516,1.7889533,15.814636945724487,19.853167202030203
Low-High,-35.23097,-7.489208,-67.12818,2.9713483,15.406148433685303,14.396802540009336
Mid-Low,-27.492188,-0.8067951,-64.86511,7.151246,14.459998607635498,14.99868707020146
Mid-Mid,-34.36608,0.0,-80.0,5.358916,17.77288794517517,17.926924550805865
Mid-High,-40.309887,-5.9706116,-80.0,2.5372524,18.296542167663574,17.491545500273993
High-Low,-52.105347,-12.183283,-80.0,0.8258561,21.833055019378662,22.71054714327068
High-Mid,-60.29584,-15.37512,-80.0,0.26021117,28.67278814315796,23.106673035902467
High-High,-70.245544,-31.622177,-80.0,0.062257297,24.84844446182251,24.414819597161554
Overall Song,-70.83996,0.0,-80.0,0.9535067,32.76795148849487,14.642254114151001
