Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-40.79994,-24.31258,-58.225105,0.53249055,11.199477910995483,20.843360884180946
Low-Mid,-40.969128,-22.881182,-63.72516,0.5934255,11.689789295196533,15.015338827597628
Low-High,-38.835262,-20.251638,-67.769485,0.898998,10.71148157119751,14.058954237819197
Mid-Low,-30.664146,-3.3333778,-72.692604,4.740644,13.188169002532959,16.216748864151196
Mid-Mid,-34.795406,0.0,-74.54907,4.2791467,17.411152124404907,17.404648298350697
Mid-High,-41.530304,-3.7052097,-80.0,1.9564743,20.503604412078857,18.8854662649215
High-Low,-46.89181,-8.2710705,-80.0,0.86003923,23.076860904693604,20.43662397979154
High-Mid,-54.091732,-18.076084,-80.0,0.35065144,21.064701080322266,25.829191095680933
High-High,-66.44114,-22.243452,-80.0,0.11388918,26.665194034576416,26.30093489164198
Overall Song,-68.57146,0.0,-80.0,0.72391045,32.84459829330444,14.087750911712646
