Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-20.3866,-13.801256,-31.972853,1.2803967,4.879533052444458,9.396296331567532
Low-Mid,-11.010895,-1.9073486e-06,-33.42376,5.0874643,6.6976529359817505,13.331023770824263
Low-High,-15.712438,-0.5299015,-34.208553,3.7930589,8.717988729476929,15.949759108217165
Mid-Low,-27.577394,-2.3594933,-55.98636,1.4328254,15.34432053565979,16.94664594998276
Mid-Mid,-35.160675,-15.679297,-61.4172,0.37011456,13.781659603118896,15.225706407606161
Mid-High,-37.01378,-13.912793,-74.83128,0.36037233,15.779857635498047,16.116906674146946
High-Low,-47.386715,-13.029007,-80.0,0.18667962,22.3767352104187,23.503822213861312
High-Mid,-53.202408,-25.831398,-80.0,0.0884249,16.06479048728943,20.796046803357925
High-High,-60.14078,-34.766426,-80.0,0.025072576,18.077274560928345,19.71022392561673
Overall Song,-61.63256,-1.9073486e-06,-80.0,0.2792425,31.90805196762085,10.409986972808838
