Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-22.556456,-10.929914,-61.187454,4.3386707,7.3506540060043335,9.911941442149839
Low-Mid,-12.394728,0.0,-65.86771,15.50637,7.21750020980835,14.634227092792836
Low-High,-19.64913,-0.10739517,-59.518833,11.5814085,9.64508056640625,17.211755516755247
Mid-Low,-38.53542,-3.9043503,-80.0,3.2191162,16.968618631362915,19.446191761365622
Mid-Mid,-51.57615,-25.011736,-80.0,0.26768196,17.463583946228027,17.793893445133392
Mid-High,-69.05467,-32.85206,-80.0,0.071531646,21.085681915283203,23.14535237637623
High-Low,-74.22203,-38.5429,-80.0,0.03434905,21.766507625579834,25.269169943491477
High-Mid,-72.27551,-40.92653,-80.0,0.036170784,18.934017419815063,22.23142272996452
High-High,-74.85096,-49.716827,-80.0,0.013184302,18.90973448753357,20.24528027675862
Overall Song,-75.14467,0.0,-80.0,0.76640046,33.338587284088135,9.795053601264954
