Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-22.635324,-8.826023,-54.41349,4.541161,9.887778759002686,10.823918558137391
Low-Mid,-12.753602,-0.025878906,-60.897717,15.790157,7.8635334968566895,14.551529367404912
Low-High,-19.552885,1.9073486e-06,-60.348274,11.687862,10.502440929412842,18.924928605014056
Mid-Low,-38.19606,-4.0949287,-80.0,3.3184943,17.343391180038452,28.60949758269316
Mid-Mid,-51.31095,-10.586969,-80.0,0.47098702,27.809994220733643,31.40836967728751
Mid-High,-67.27814,-15.655542,-80.0,0.16967422,31.60928249359131,32.00111594825562
High-Low,-73.01908,-28.827213,-80.0,0.04006769,30.974042415618896,28.927014239926333
High-Mid,-71.009895,-31.260618,-80.0,0.04662108,27.224876880645752,33.12105290330636
High-High,-74.059074,-27.050327,-80.0,0.049462363,30.921318531036377,31.662582330007748
Overall Song,-74.80003,1.9073486e-06,-80.0,0.7815762,33.99771451950073,12.982230186462402
