Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-17.450777,-1.9073486e-06,-32.746834,5.1670074,11.277768611907959,9.23155638287901
Low-Mid,-10.089641,-3.7177181,-17.554283,7.138965,4.752126634120941,12.11271429184157
Low-High,-17.672195,-5.342823,-34.87308,4.5012136,7.1331363916397095,17.40343521788284
Mid-Low,-33.810833,-10.945721,-61.52922,0.9912839,14.672869443893433,13.697754807557256
Mid-Mid,-37.953117,-14.059653,-70.428154,0.7084868,14.476262331008911,13.934689050737434
Mid-High,-39.27761,-13.2115755,-80.0,0.61311346,16.580158472061157,17.19853555214386
High-Low,-55.755585,-19.119488,-80.0,0.14637217,23.113892078399658,18.068920574339383
High-Mid,-57.33966,-33.500595,-80.0,0.060958255,16.34130358695984,22.629625178927885
High-High,-68.49784,-38.01307,-80.0,0.019742029,21.621646881103516,25.695717205752672
Overall Song,-69.8784,-1.9073486e-06,-80.0,0.37551126,34.050092697143555,10.553643703460693
