Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-16.782618,-9.1690235,-31.56489,0.004591671,5.671152472496033,5.318682110168646
Low-Mid,-4.1591167,-2.8357449,-6.2860966,0.015923915,1.202850490808487,5.299241583771095
Low-High,-5.545513,1.9073486e-06,-11.805712,0.016947998,3.497225046157837,7.633904412865605
Mid-Low,-20.738873,-11.366606,-42.85038,0.0032629997,6.440645456314087,11.098382193988481
Mid-Mid,-26.91047,-15.512545,-47.305756,0.00161636,8.396285772323608,10.853578182902496
Mid-High,-28.964012,-17.369291,-50.23503,0.0011934249,9.174396991729736,12.695136852806213
High-Low,-29.536678,-17.779108,-55.789406,0.0011412981,9.152503609657288,13.960590648396725
High-Mid,-29.683474,-17.418207,-59.840446,0.0011335426,9.572623372077942,12.791958185710357
High-High,-29.433315,-15.869543,-66.67777,0.001137742,11.08917236328125,13.293296690332216
Overall Song,-29.347212,1.9073486e-06,-66.67777,0.0014881972,24.626383781433105,11.893596649169922
