Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-13.844525,-3.097188,-28.402298,0.84248245,7.580624222755432,10.026070748330579
Low-Mid,-12.988525,-5.8475876,-26.28493,0.86681235,4.582940340042114,7.895364685640417
Low-High,-13.288784,-3.3296123,-36.16824,0.9606256,6.208334565162659,18.324945883043956
Mid-Low,-33.608025,-14.052096,-54.507275,0.13205436,12.721878290176392,14.19213713509899
Mid-Mid,-22.58491,0.0,-53.74862,0.6081926,13.50820541381836,12.052768703703414
Mid-High,-24.608253,-7.463326,-63.682285,0.37444285,10.2579927444458,13.827927289326638
High-Low,-36.44627,-7.840415,-73.32048,0.12359679,19.508471488952637,13.2841944819728
High-Mid,-44.05899,-23.18761,-80.0,0.033762548,15.432716608047485,14.154339393357208
High-High,-58.879837,-24.851786,-80.0,0.010202862,24.16280508041382,12.647411963538994
Overall Song,-58.465252,0.0,-80.0,0.11085829,28.29366683959961,11.114691495895386
