Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-11.440088,-9.09489,-13.323874,0.51379704,2.157798856496811,4.878445996157805
Low-Mid,-2.6715755,0.0,-9.425343,1.4947286,1.9772741198539734,11.07982751782715
Low-High,-12.354061,-1.2948332,-33.353382,0.86782676,5.405027270317078,14.347431924333524
Mid-Low,-33.939606,-10.06779,-58.290714,0.14864177,11.95791482925415,15.744705391730207
Mid-Mid,-37.050716,-14.842823,-80.0,0.07563199,13.051587343215942,17.328211012672586
Mid-High,-47.621258,-19.845825,-80.0,0.024538362,17.82578468322754,24.20340862384076
High-Low,-56.430416,-25.034224,-80.0,0.014357494,17.29272484779358,22.760425694471294
High-Mid,-58.386322,-26.261665,-80.0,0.009351761,19.788987636566162,19.98855316850553
High-High,-60.35106,-30.674417,-80.0,0.006567641,18.445916175842285,26.26102886072577
Overall Song,-61.23708,0.0,-80.0,0.064732686,29.24604892730713,6.778043508529663
