Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-30.865646,-18.145954,-43.862106,3.822554,7.750955820083618,16.230710002803765
Low-Mid,-30.704485,-11.949461,-50.383095,4.9695883,11.668113470077515,17.159735746908975
Low-High,-29.138966,-15.705969,-53.477715,4.154218,9.468229413032532,14.686265091221408
Mid-Low,-37.12918,-14.425026,-70.55008,3.5224504,12.182060480117798,16.708740434712475
Mid-Mid,-39.970238,3.8146973e-06,-79.46738,7.9293947,19.55918312072754,23.824544668262423
Mid-High,-54.28527,-25.612228,-80.0,0.46742818,18.53745698928833,17.25026719582314
High-Low,-53.597683,-24.425383,-80.0,0.53194875,18.601205348968506,20.092947715756
High-Mid,-47.175735,-14.670429,-80.0,1.2061472,21.245548725128174,21.31628623584806
High-High,-59.93278,-17.458424,-80.0,0.62065893,24.228498935699463,21.899194324055834
Overall Song,-67.03842,3.8146973e-06,-80.0,1.0902568,36.79340839385986,15.834810733795166
