Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-36.024086,-19.290758,-54.745167,2.2708127,9.14290726184845,13.528866343596299
Low-Mid,-32.203888,-13.247051,-48.438805,3.6692545,11.018686294555664,15.943433402033069
Low-High,-31.25925,-12.163996,-58.403824,3.5197556,12.463046312332153,16.892474013076793
Mid-Low,-30.404049,0.0,-57.0577,8.048554,17.442936897277832,17.80282707797204
Mid-Mid,-34.745243,-1.4851837,-65.2735,5.670147,19.000225067138672,17.254428312377126
Mid-High,-38.145,-10.851433,-75.93361,3.0411339,15.045150518417358,20.266857794948475
High-Low,-44.21562,-11.598625,-80.0,1.5398412,20.209150314331055,18.957602667255916
High-Mid,-45.546177,-18.761269,-80.0,0.7668406,19.10192370414734,20.320543199107547
High-High,-56.48235,-15.666029,-80.0,0.86824405,21.11842632293701,22.197322194805743
Overall Song,-62.890903,0.0,-80.0,1.2256645,33.78986358642578,17.279783487319946
