Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-33.771244,-12.645206,-52.661892,4.879067,12.552001476287842,16.561986234307746
Low-Mid,-32.883648,-7.936083,-62.917225,7.738665,13.254537582397461,18.147901325150286
Low-High,-32.20278,-7.250189,-69.54326,8.910352,12.715857028961182,18.702450136613272
Mid-Low,-27.449232,-5.969536,-61.245018,11.189399,12.018272876739502,14.844541029564095
Mid-Mid,-29.61403,-0.1429596,-63.290123,14.122429,15.822794437408447,17.666944127897313
Mid-High,-40.967777,0.0,-80.0,7.0737686,21.970927715301514,22.17511789087395
High-Low,-47.598557,-11.940571,-80.0,1.8200729,21.82159662246704,24.171080394621605
High-Mid,-48.627613,-16.299088,-80.0,1.2351512,20.83045482635498,23.651487155408265
High-High,-54.66295,-17.162851,-80.0,0.9652658,22.108154296875,26.112028061939117
Overall Song,-62.896717,0.0,-80.0,2.2818544,31.79818630218506,13.788042068481445
