Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-34.86901,-12.071672,-70.62724,2.945585,14.794485569000244,17.51721530110505
Low-Mid,-32.069904,-11.137394,-57.60375,3.4114554,14.453401565551758,17.076516326121826
Low-High,-31.45916,-11.686836,-56.77144,3.3518944,14.056947231292725,16.565571199026234
Mid-Low,-25.587355,-4.2792816,-66.49079,9.546765,12.373179197311401,15.89994885191489
Mid-Mid,-30.31743,-1.0534172,-66.394295,8.261288,16.855214834213257,14.993186987413718
Mid-High,-32.585094,0.0,-80.0,8.791943,17.36789345741272,17.14941392512091
High-Low,-39.372616,-6.360565,-79.41647,2.8795722,20.70246458053589,22.466383619903443
High-Mid,-43.33953,-12.30971,-80.0,1.3677067,21.22002124786377,29.002519681353135
High-High,-58.91578,-15.136723,-80.0,0.5474798,26.345503330230713,27.920766934385806
Overall Song,-62.86261,0.0,-80.0,2.015892,30.16024351119995,14.354761838912964
