Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-31.399124,-13.186592,-49.52557,4.5773025,10.85711121559143,16.759693504956466
Low-Mid,-28.124964,-7.812847,-50.187294,6.9131517,12.649524211883545,17.869766719027943
Low-High,-27.700077,-3.9541092,-53.135143,8.740536,14.47102427482605,15.747021158301031
Mid-Low,-23.850899,-0.550354,-72.95337,15.397776,12.956379652023315,14.558646515463538
Mid-Mid,-29.646496,0.0,-63.47802,11.70188,15.890779495239258,16.631373087164935
Mid-High,-35.07894,-2.0621796,-80.0,6.725452,18.639283180236816,20.484780274552264
High-Low,-39.413216,-7.2307816,-80.0,2.5616364,21.85476064682007,20.97457165634171
High-Mid,-46.232784,-18.86908,-80.0,0.83351475,19.968546628952026,27.545316723111416
High-High,-60.14147,-22.542282,-80.0,0.2606968,26.39089584350586,29.536704298073502
Overall Song,-64.23085,0.0,-80.0,2.2373915,30.261051654815674,13.638712167739868
