Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-39.133595,-16.62979,-80.0,2.7469513,13.303115367889404,18.087500987810593
Low-Mid,-33.51304,-13.176281,-51.398537,4.344843,12.774162292480469,16.5871099798289
Low-High,-35.687244,-12.06451,-68.7822,4.7974153,13.02526593208313,18.366502975343305
Mid-Low,-33.274002,-1.8790054,-80.0,13.712819,14.088385105133057,15.294237437507618
Mid-Mid,-36.34487,0.0,-80.0,12.757607,16.594538688659668,16.652708510106596
Mid-High,-43.469883,-0.5296173,-80.0,9.381415,18.734939098358154,18.79786950465141
High-Low,-48.00142,-7.08527,-80.0,3.0654411,21.89479351043701,21.11341689925194
High-Mid,-53.81191,-13.991312,-80.0,1.2206298,22.986931800842285,28.652041836881473
High-High,-64.37367,-24.476664,-80.0,0.33443326,23.747069835662842,31.873996128919735
Overall Song,-67.09563,0.0,-80.0,2.4660628,30.86984157562256,13.340094089508057
