Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-39.38397,-16.164316,-76.67754,3.4639091,14.183387756347656,26.387637354252547
Low-Mid,-35.354202,-14.0256,-56.347485,4.665487,13.73549222946167,20.496500822802375
Low-High,-36.584534,-9.256084,-71.30967,5.7584114,16.67689561843872,17.25355852907169
Mid-Low,-35.412964,-3.9755325,-80.0,14.311197,14.049984216690063,17.103144156302783
Mid-Mid,-37.504612,0.0,-80.0,12.750853,19.02824878692627,17.14138812789661
Mid-High,-43.126564,-0.33363342,-80.0,9.651098,21.1138653755188,19.77442463282176
High-Low,-48.95682,-2.9611855,-80.0,3.5635796,27.140121459960938,23.409793121655035
High-Mid,-56.107162,-13.812538,-80.0,1.0480613,26.918764114379883,28.76377557338406
High-High,-65.387924,-19.08723,-80.0,0.44798097,29.026613235473633,29.15723375468778
Overall Song,-68.07885,0.0,-80.0,2.5579135,32.98131704330444,13.122066259384155
