Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-30.682161,-12.62615,-52.890194,3.1569548,8.94083559513092,16.638764161560555
Low-Mid,-26.671873,-10.1970215,-43.677635,4.4123178,8.461995124816895,16.78809204704178
Low-High,-31.780386,-8.735399,-55.93701,3.8357973,11.139839887619019,12.742212601195329
Mid-Low,-40.019936,-2.6674728,-80.0,7.4933996,11.391303539276123,13.83934676297958
Mid-Mid,-44.05413,0.0,-80.0,4.6199217,18.259661197662354,17.465984278085187
Mid-High,-48.559307,-2.5315647,-80.0,4.4334607,16.085931062698364,20.878416809688357
High-Low,-56.35451,-17.165642,-80.0,0.72524005,17.17707633972168,20.938463873319144
High-Mid,-61.100075,-24.382963,-80.0,0.26948392,18.558732271194458,24.940840656963523
High-High,-66.9089,-31.531141,-80.0,0.13736682,17.263574600219727,23.880265749089233
Overall Song,-69.64553,0.0,-80.0,1.0886151,30.81486701965332,14.488093852996826
