Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-30.15057,-5.765074,-59.242386,4.040546,14.140625,20.242969177046113
Low-Mid,-26.658377,-3.3155823,-51.536556,4.979987,14.774353504180908,19.76993678941354
Low-High,-29.874376,-3.0977097,-61.24289,3.9070587,17.099791765213013,15.51832620266998
Mid-Low,-39.131557,-1.8866234,-80.0,6.6215596,13.728671073913574,19.007785924027086
Mid-Mid,-47.049385,-1.6026859,-80.0,3.5122032,19.520221948623657,24.11943562171934
Mid-High,-53.005497,0.0,-80.0,2.5504518,23.902158737182617,26.798434977753324
High-Low,-54.297897,-8.558966,-80.0,0.8374108,25.01676321029663,29.244591258073488
High-Mid,-59.678963,-13.068289,-80.0,0.50810647,24.847116470336914,28.91780028476486
High-High,-69.99182,-21.366642,-80.0,0.1514352,27.063322067260742,30.07371036398533
Overall Song,-70.938675,0.0,-80.0,0.8668502,33.27562093734741,20.666568279266357
