Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-34.3953,-3.467949,-80.0,6.8647885,18.094640970230103,19.70099854675276
Low-Mid,-30.98286,-0.74313736,-80.0,11.696418,16.190940141677856,21.47330791965727
Low-High,-33.352245,-1.66222,-80.0,8.937536,17.60856032371521,20.923478656232348
Mid-Low,-35.875633,-3.8146973e-06,-80.0,8.630975,19.57393765449524,23.216996596983254
Mid-Mid,-43.788563,-0.38666534,-80.0,4.562266,24.724855422973633,26.219823363277413
Mid-High,-51.353344,-1.9858246,-80.0,2.213899,29.40615177154541,29.713196834907706
High-Low,-60.00833,-8.035772,-80.0,0.7514079,32.741849422454834,31.215316878807112
High-Mid,-65.89336,-14.359188,-80.0,0.3076525,34.17473793029785,32.489197107737226
High-High,-72.16808,-20.23805,-80.0,0.22530465,31.00168228149414,33.746367491954324
Overall Song,-72.91979,-3.8146973e-06,-80.0,1.1264068,37.26122856140137,19.473940134048462
