Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-27.533537,-10.58717,-71.62474,5.670675,12.64896273612976,13.649655623791105
Low-Mid,-18.780754,-2.9237518,-71.89812,17.797585,10.37785291671753,19.221187629831395
Low-High,-23.597437,-2.7087975,-76.17824,13.734842,12.843555212020874,19.887763459357323
Mid-Low,-35.085983,-3.794075,-80.0,6.838693,17.815290689468384,24.902267219252487
Mid-Mid,-46.43774,-7.0772305,-80.0,2.1098583,24.746530055999756,27.859260549373438
Mid-High,-57.943806,-10.457014,-80.0,0.8129924,29.650084972381592,30.41050957100666
High-Low,-63.847137,0.0,-80.0,1.146358,37.12242364883423,31.37587482645955
High-Mid,-66.22756,-23.732357,-80.0,0.15681288,30.668833255767822,30.816365085724712
High-High,-72.07663,-21.169456,-80.0,0.16355483,32.86610126495361,30.195429793180036
Overall Song,-73.11833,0.0,-80.0,1.0957856,37.51431703567505,19.94327187538147
