#,Key,Artwork,File Type,BPM,Comments,DJ Play Count,Track Title,Artist,Genre,Album,Rating,Release Date,Year,Label,Remixer,Mix Name,Time,Date Added,Size,File Name,Bitrate,Location,Bitdepth
1,6A,,MP3,121.0,OOOLD_SRC_YODJ,1,Eme Lelu (Adam Port Edit),Quim Manuel O Espirito Santo,Afro House,nan,,nan,2019,nan,,,06:53,2023-04-14,15.9 MB,Quim Manuel O Espirito Santo - Eme Lelu (Ada_2_0.mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_27_07-25/Quim Manuel O Espirito Santo - Eme Lelu (Ada_2_0.mp3,16
2,6A,,MP3,124.0,OOOLD_SRC_YODJ,1,Eye Nyam Nam 'A' Mensuro (Henrik Schwarz Dub),"Pat Thomas, Ebo Taylor, Henrik Schwarz",House,Eye Nyam Nam 'A' Mensuro (Henrik Schwarz Mixes),,2015-01-01,2015,Strut,,,07:29,2023-04-14,17.2 MB,"Henrik Schwarz, Ebo Taylor, Pat Thomas - Eye_2_0.mp3",320 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_11_07-25/Henrik Schwarz, Ebo Taylor, Pat Thomas - Eye_2_0.mp3",16
3,6A,,MP3,120.0,OOOLD_SRC_YODJ,0,Everyday (Shimza Remix),"WhoMadeWho, Rampa",Afro House,Everyday (Shimza Remix),,2022-10-28,2022,Embassy One,,,07:32,2023-04-14,18.9 MB,"WhoMadeWho, Rampa - Everyday (Shimza Remix)_2_0.mp3",320 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_17_07-25/WhoMadeWho, Rampa - Everyday (Shimza Remix)_2_0.mp3",16
4,1A,,WAV,118.0,OOOLD_SRC_YODJ,0,Forbidden feat. Sio (Original Mix),"Sio, Dwson",nan,nan,,nan,0,nan,,,06:16,2023-09-08,63.4 MB,"Sio, Dwson - Forbidden feat. Sio (Original M_3_0.wav",1411 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_50_07-25/Sio, Dwson - Forbidden feat. Sio (Original M_3_0.wav",16
5,4A,,WAV,120.0,OOOLD_SRC_YODJ,0,Falling into Place (Original Mix),Massh,nan,nan,,nan,0,nan,,,07:37,2023-04-14,77.1 MB,Massh - Falling into Place (Original Mix)_2_0.wav,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_47_07-25/Massh - Falling into Place (Original Mix)_2_0.wav,16
6,6A,,WAV,121.0,OOOLD_SRC_YODJ,0,Fatoumata_Original_Mix,nan,nan,nan,,nan,0,nan,,,05:20,2023-04-14,53.9 MB,Fatoumata_Original_Mix_3_0.wav,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_13_07-25/Fatoumata_Original_Mix_3_0.wav,16
7,12A,,MP3,123.0,OOOLD_SRC_YODJ,0,Footprints (Extended Mix),Kaz James,Dance / Electro Pop,Footprints (Extended Mix),,2022-04-29,2022,Another Record Label,,,07:33,2023-04-14,17.7 MB,Kaz James - Footprints (Extended Mix)_2_0.mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_27_07-25/Kaz James - Footprints (Extended Mix)_2_0.mp3,16
8,11A,,MP3,123.0,OOOLD_SRC_YODJ,0,Freya,Anjei,Танцевальная/электронная музыка,Cantec De Leagane / Freya,,nan,2017,nan,,,04:44,2023-04-14,11 MB,Anjei - Freya_2_0.mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_24_07-25/Anjei - Freya_2_0.mp3,16
9,7A,,WAV,122.0,OOOLD_SRC_YODJ,0,Gates of Thēbai (Original Mix),Shai T,nan,nan,,nan,0,nan,,,06:53,2023-04-14,69.5 MB,Shai T - Gates of Thēbai (Original Mix)_2_0.wav,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_52_07-25/Shai T - Gates of Thēbai (Original Mix)_2_0.wav,16
10,4A,,MP3,112.0,OOOLD_SRC_YODJ,3,Gerra G - Desencanto (Padouc Remix) myfreemp3.vip,nan,nan,nan,,nan,0,nan,,,08:34,2023-08-15,19.7 MB,Gerra G - Desencanto (Padouc Remix) myfreemp3.vip .mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_25_07-25/Gerra G - Desencanto (Padouc Remix) myfreemp3.vip .mp3,16
