Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-33.215736,-7.090828,-80.0,54.022717,11.865875720977783,13.876708009656127
Low-Mid,-25.663267,3.8146973e-06,-80.0,141.83702,10.572441816329956,15.31130179947846
Low-High,-27.417273,-0.9785156,-80.0,114.61408,11.444960832595825,18.496843940346317
Mid-Low,-32.011757,-1.3517494,-80.0,62.563583,16.33004903793335,20.051929325970853
Mid-Mid,-40.52301,-6.472286,-80.0,24.683468,19.2878258228302,19.50424740595533
Mid-High,-46.044994,-10.722153,-80.0,11.105538,21.975290775299072,22.874496099925295
High-Low,-49.982895,-15.310802,-80.0,6.1241474,22.556521892547607,22.47087467888013
High-Mid,-51.33589,-17.254227,-80.0,4.745766,22.827880382537842,21.33426156389943
High-High,-55.707825,-19.237549,-80.0,4.2288604,21.84621810913086,24.86318283135735
Overall Song,-61.694992,3.8146973e-06,-80.0,9.795579,33.78763198852539,8.97118330001831
