Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-36.156044,-4.348892,-80.0,81.340675,12.012945413589478,12.04078893923143
Low-Mid,-29.370384,-0.8305969,-80.0,181.8377,8.54371964931488,15.895631266367152
Low-High,-30.595177,0.0,-80.0,129.91975,12.29448914527893,18.623932372747564
Mid-Low,-31.927147,-3.3639412,-80.0,53.95485,16.563444137573242,19.399193499078486
Mid-Mid,-39.457607,-4.102783,-80.0,22.615091,23.377246856689453,20.71174159136088
Mid-High,-47.828056,-10.3823395,-80.0,10.849466,23.477487564086914,22.749819070163376
High-Low,-52.216385,-12.551487,-80.0,5.688257,26.916921138763428,23.256285079037724
High-Mid,-55.187473,-17.952145,-80.0,4.0741534,24.415099620819092,21.864678156885287
High-High,-58.551975,-20.492065,-80.0,3.7699375,22.549242973327637,25.01868101667169
Overall Song,-60.785213,0.0,-80.0,10.461044,34.17649269104004,8.461529612541199
