Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-30.522923,-7.064331,-80.0,70.842415,6.8000054359436035,10.125390000784849
Low-Mid,-24.435844,-1.5877686,-80.0,124.22485,7.398262023925781,16.94753826780239
Low-High,-27.149796,-0.1981659,-80.0,70.106384,13.756883144378662,18.593366307209564
Mid-Low,-29.67687,3.8146973e-06,-80.0,53.195133,16.35276436805725,19.26544580332927
Mid-Mid,-37.681137,-5.3209305,-80.0,21.063793,19.07853603363037,18.47965289840425
Mid-High,-41.379692,-6.0105896,-80.0,16.348083,20.590274333953857,21.328035929684276
High-Low,-44.732513,-7.0362816,-80.0,10.9407015,23.053014278411865,20.16895983080543
High-Mid,-46.004402,-12.57756,-80.0,6.3956623,22.174932956695557,21.493478299512336
High-High,-50.043774,-18.370167,-80.0,3.3811843,21.918659210205078,24.89688711690502
Overall Song,-56.93854,3.8146973e-06,-80.0,8.735045,32.044899463653564,10.01475214958191
