Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-40.55602,-6.128689,-80.0,65.652374,10.896308422088623,14.526574839151287
Low-Mid,-34.56509,-0.663311,-80.0,110.60968,11.830830574035645,16.93012514356116
Low-High,-35.689404,-0.27204895,-80.0,88.58077,14.151167869567871,19.543413373527926
Mid-Low,-34.227264,-3.8146973e-06,-80.0,56.065582,18.396079540252686,17.984627500473028
Mid-Mid,-37.588882,-9.309818,-80.0,21.485638,17.417221069335938,19.304800556604757
Mid-High,-44.18301,-11.650337,-80.0,12.467209,19.80428457260132,20.079698352838893
High-Low,-48.61197,-12.251541,-80.0,6.864013,24.38690185546875,23.417327594673306
High-Mid,-51.020103,-17.972103,-80.0,4.924468,21.5507173538208,23.32049107677911
High-High,-54.741543,-21.945627,-80.0,3.5564377,20.40407657623291,23.19567477321915
Overall Song,-61.349037,-3.8146973e-06,-80.0,8.466673,34.81575012207031,10.102869272232056
