Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-47.797787,-11.800182,-80.0,23.834757,15.399335622787476,15.367677261797743
Low-Mid,-41.052704,-1.6639023,-80.0,114.61621,11.89490556716919,13.88384136037848
Low-High,-36.731415,0.0,-80.0,164.92361,10.398075580596924,16.920118053298356
Mid-Low,-48.205395,-0.114032745,-80.0,62.505333,18.711355924606323,22.9643085410066
Mid-Mid,-52.574528,-10.233101,-80.0,15.666026,20.61145305633545,23.58836882189374
Mid-High,-54.681232,-10.836205,-80.0,12.351847,22.072889804840088,22.350517632697322
High-Low,-56.916733,-10.600342,-80.0,8.091059,25.983283519744873,24.115252936968723
High-Mid,-58.61491,-16.843208,-80.0,3.7794533,26.351943016052246,25.87403984086098
High-High,-64.5767,-22.622078,-80.0,2.4312134,24.405193328857422,28.275644290255073
Overall Song,-66.96705,0.0,-80.0,10.373165,34.425506591796875,8.461863398551941
