Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-30.649185,-6.7626343,-80.0,72.98447,10.301860570907593,12.377967555860746
Low-Mid,-23.0528,0.0,-80.0,172.20268,9.608306288719177,14.860167991089648
Low-High,-28.686949,-0.7525902,-80.0,131.26288,11.213678121566772,18.129224848041588
Mid-Low,-34.779182,-3.6029167,-80.0,50.67685,16.62999987602234,21.425111996927676
Mid-Mid,-44.501724,-7.8730164,-80.0,16.779268,21.960630416870117,17.57079068228735
Mid-High,-46.26801,-8.495094,-80.0,15.807578,21.856706142425537,21.427468008673316
High-Low,-48.08173,-11.054501,-80.0,8.877532,24.308757781982422,20.39695477091562
High-Mid,-51.18974,-12.979908,-80.0,6.5701447,24.99769926071167,20.677865896668347
High-High,-55.41772,-18.648956,-80.0,5.400002,21.03227138519287,23.027989206719877
Overall Song,-62.343143,0.0,-80.0,10.626364,33.80141019821167,8.323519229888916
