Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-41.54385,-0.8236542,-80.0,101.5348,10.510751008987427,11.143179092380151
Low-Mid,-37.237785,3.8146973e-06,-80.0,155.01703,7.659112811088562,17.376183333034955
Low-High,-39.984924,-0.27349472,-80.0,85.7296,12.530593872070312,18.693587386839233
Mid-Low,-36.7013,-2.014965,-80.0,40.99215,17.197723388671875,19.175251493850162
Mid-Mid,-35.57177,-8.031391,-80.0,22.504791,16.38981342315674,21.291381046544352
Mid-High,-40.76524,-8.868164,-80.0,13.203944,20.18446445465088,22.5658479408304
High-Low,-44.68785,-12.694771,-80.0,6.2782693,22.815134525299072,22.37355878274357
High-Mid,-47.081787,-18.630432,-80.0,4.622861,19.538052082061768,24.17919337309894
High-High,-53.337414,-19.06163,-80.0,2.5945272,24.1239070892334,25.7214854274834
Overall Song,-58.61242,3.8146973e-06,-80.0,8.76789,32.60879993438721,9.809467196464539
