Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-30.374588,-11.851727,-80.0,33.616146,9.831936359405518,13.299849323578519
Low-Mid,-22.47195,-0.9230118,-80.0,110.84899,10.396971702575684,17.308190350910348
Low-High,-24.69075,-0.060596466,-80.0,94.70528,12.626540660858154,21.272208172787288
Mid-Low,-34.921696,-1.1611214,-80.0,39.79344,19.057271480560303,18.018331104297104
Mid-Mid,-34.9498,0.0,-80.0,33.127106,21.810953617095947,20.094335907983147
Mid-High,-38.903057,-2.87146,-80.0,17.51215,24.476370811462402,21.395541763844697
High-Low,-45.751266,-4.2112503,-80.0,9.169444,28.756511211395264,20.604357085076796
High-Mid,-50.199886,-14.416306,-80.0,4.686088,24.38210964202881,22.256977830004757
High-High,-51.293915,-13.04393,-80.0,4.322942,26.4551043510437,27.697213489802692
Overall Song,-58.824238,0.0,-80.0,8.65787,33.46640110015869,10.0905179977417
