title,artist,remixer,bpm
Apricots,Bicep,Sub Focus,174
I Wish,Infected Mushroom,Aura Vortex,145
Firestarter,The Prodigy,Andy C,174
My Cosmos Is Mine,Depeche Mode,ANNA,130
Go,Moby,Anfisa Letyago,130
Innerbloom,RÜFÜS DU SOL,What So Not,138
Zombie,The Cranberries,Ranji & WHITENO1SE,145
Koto,Orkidz,,86
Borojo,Mixwell & Yemanjo,Lagartijeando,90
Dreta,EraNota,,100
Chimera,Faders & Blazy,,142
Come With Us,Ace Ventura & Zen Mechanics,Asgard,142
Equilibrio,Lagartijeando,,80
Dreams Within a Dream,Desert Dwellers,Symbolico,100
Homeworld,Nanosphere,Desert Dwellers,135
Path of Illumination,Poranguí & Liquid Bloom,,85
Ayurveda,Beatfarmer & Clement,,90
San Pedro Rising,Kaya Project,SOOHAN,100
Glue,Bicep,Jon Hopkins,128
Insomnia,Faithless,Maceo Plex,125
Love Tonight,Shouse,Vintage Culture & Kiko Franco,124
The Age Of Love,Charlotte de Witte & Enrico Sangiuliano,,142
Fragrance,Liquid Bloom & Bloomurian,Akriza,90
The Wild Hunt,Lavender Sun,,88
In The Jungle,Potilotti,,90
Lost In Love,Mystic Crock,,95
Psilocybin Experiments,Ashnaia Project,,92
Doppelganger,NeuroQ,,90
Divine Realms,Atmospherika & Ren Faye,,85
Remnants of Hope,Tengri & Egon’s Embrace,Tor.Ma in Dub,88
Ultravioleta,Tabilonder,,89
Mystindia,Stefan Rives,,98
