Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-45.89335,-23.733673,-80.0,1.3769196,18.290228843688965,27.58316071203593
Low-Mid,-56.777016,-19.419514,-80.0,1.0602739,24.87420082092285,24.69958031992935
Low-High,-58.24636,-18.273758,-80.0,1.1041877,25.667455196380615,20.599177859606094
Mid-Low,-48.182148,-5.7983093,-80.0,6.4865217,22.763526439666748,18.617527344093226
Mid-Mid,-43.18349,-3.7492256,-80.0,10.491622,20.635993480682373,18.51284601798729
Mid-High,-44.590797,0.0,-80.0,12.786333,22.667155265808105,18.50792074276714
High-Low,-51.140335,-0.7501831,-80.0,7.276453,26.81349515914917,21.419902704329434
High-Mid,-52.66696,-6.209118,-80.0,3.8581944,26.865274906158447,27.509266032703312
High-High,-56.98108,-15.1639385,-80.0,1.3085483,27.30234146118164,32.927444385358264
Overall Song,-66.8231,0.0,-80.0,3.3179474,34.384684562683105,17.29695200920105
