Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-59.475666,-18.502325,-80.0,0.92393374,29.69435453414917,35.99836260384785
Low-Mid,-58.89528,-14.855137,-80.0,1.1667426,31.314854621887207,23.637314091791968
Low-High,-54.391495,-11.529659,-80.0,2.448599,28.201477527618408,17.581047567580164
Mid-Low,-41.73213,-5.814556,-80.0,12.665004,19.642828702926636,20.227227589538867
Mid-Mid,-42.81616,0.0,-80.0,11.735659,26.119344234466553,22.49284383699791
Mid-High,-50.44995,-3.556343,-80.0,6.7024484,27.428481578826904,25.732125549417873
High-Low,-57.172123,-5.9980507,-80.0,2.9068494,32.24299192428589,28.79937381829229
High-Mid,-62.54332,-14.571327,-80.0,1.1602061,31.647465229034424,31.408293698220994
High-High,-65.25333,-15.384365,-80.0,1.0991621,31.3038969039917,30.217480185758223
Overall Song,-68.20411,0.0,-80.0,2.1990752,40.66469192504883,21.398696899414062
