Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-49.167076,-19.450922,-80.0,3.0868204,18.2969331741333,20.211335964857934
Low-Mid,-52.11169,-24.60291,-80.0,1.7623739,18.01321268081665,23.390613369198885
Low-High,-52.350185,-10.381153,-80.0,3.6001644,26.03048324584961,21.29402249278341
Mid-Low,-43.199753,-3.401226,-80.0,15.448385,20.359196662902832,19.832251330668274
Mid-Mid,-43.655514,-3.8146973e-06,-80.0,14.580872,24.26241159439087,22.740054489874186
Mid-High,-51.14783,-0.8706589,-80.0,8.377031,28.205621242523193,24.654519205260215
High-Low,-53.545094,-3.7475624,-80.0,4.476744,30.77127456665039,25.667005411208535
High-Mid,-59.35406,-11.31934,-80.0,2.0728872,29.887230396270752,29.258608529917293
High-High,-66.06086,-12.175793,-80.0,1.3494684,32.759037017822266,31.346931428182288
Overall Song,-68.36233,-3.8146973e-06,-80.0,2.8618968,38.405001163482666,19.47803258895874
