Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-36.05214,-28.405193,-46.723293,3.6057017,7.550656795501709,25.653033731866124
Low-Mid,-69.8416,-37.494072,-80.0,0.24202675,21.924307346343994,29.5942478187709
Low-High,-70.89288,-37.89709,-80.0,0.20724082,22.86904811859131,30.722024624944055
Mid-Low,-66.30793,-13.913593,-80.0,1.4798675,29.7775936126709,23.22596071197132
Mid-Mid,-56.99977,0.0,-80.0,9.272867,27.75136709213257,21.100415174847157
Mid-High,-57.689972,-3.8174706,-80.0,6.126944,27.533297538757324,25.85401019384609
High-Low,-62.116196,-5.614189,-80.0,2.8198483,32.4769401550293,28.312379423521573
High-Mid,-68.1579,-13.591717,-80.0,0.8657982,34.75559711456299,33.7688707602961
High-High,-73.23693,-20.952837,-80.0,0.3562671,35.107295513153076,29.571826891823008
Overall Song,-74.08615,0.0,-80.0,1.6110151,42.95365333557129,21.17861270904541
