Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-58.405586,-29.168749,-80.0,0.5144171,24.252278804779053,29.350284014303668
Low-Mid,-67.80907,-29.773766,-80.0,0.34107158,27.21665859222412,26.569152752623637
Low-High,-67.25884,-30.871891,-80.0,0.33342397,26.315507888793945,26.990031461614258
Mid-Low,-59.87552,-6.226269,-80.0,4.936488,27.5527024269104,20.687614134688268
Mid-Mid,-47.550587,-0.37932587,-80.0,12.281976,25.48264741897583,18.402506366256112
Mid-High,-46.38387,-3.8146973e-06,-80.0,12.445045,25.747404098510742,19.03189084416543
High-Low,-49.197895,-2.6937218,-80.0,7.5358934,27.410919666290283,22.258563586648165
High-Mid,-54.544147,-5.4152565,-80.0,3.1069763,32.38532066345215,25.738220756756938
High-High,-57.893066,-10.621235,-80.0,1.8786339,31.5492582321167,27.168075883858474
Overall Song,-64.69386,-3.8146973e-06,-80.0,3.3810248,37.06636667251587,16.055604219436646
