Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-35.672283,-28.147211,-43.15049,4.7891827,7.33267068862915,30.849135323537883
Low-Mid,-76.7491,-34.91741,-80.0,0.24521172,26.376872062683105,33.027727989699464
Low-High,-77.45809,-19.736174,-80.0,0.67695,32.73780345916748,27.917279901193687
Mid-Low,-74.8787,-6.5604362,-80.0,3.673073,31.224079132080078,29.358244221116717
Mid-Mid,-74.82634,3.8146973e-06,-80.0,5.6315455,34.072558879852295,29.336609752952594
Mid-High,-76.484116,-3.1345253,-80.0,4.0435443,33.815340995788574,36.49415921417079
High-Low,-78.34617,-17.264202,-80.0,0.42676637,39.21710252761841,39.12465701071906
High-Mid,-79.576416,-22.534698,-80.0,0.076969326,48.82405757904053,43.64432299573055
High-High,-79.84963,-38.56302,-80.0,0.025080021,42.535529136657715,43.89404076519266
Overall Song,-79.51732,3.8146973e-06,-80.0,0.97786593,49.27952289581299,26.805105209350586
