Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-8.408994,-7.5384293,-10.866154,82.2778,0.8684103935956955,31.547191535326537
Low-Mid,-65.681694,-16.504412,-80.0,0.44086823,37.321906089782715,34.70978811767809
Low-High,-65.81388,-21.473156,-80.0,0.44459078,32.28013038635254,30.695500606625497
Mid-Low,-62.92771,-0.032417297,-80.0,4.693387,33.25035333633423,31.14572999880331
Mid-Mid,-63.21584,0.0,-80.0,4.2956686,34.051880836486816,31.14835208434006
Mid-High,-68.65355,-6.68758,-80.0,1.2313584,38.21722745895386,36.0243407811591
High-Low,-74.18597,-14.949114,-80.0,0.26403686,43.330087661743164,41.406056779169504
High-Mid,-76.636566,-10.2007065,-80.0,0.24599746,48.693175315856934,39.805552918302624
High-High,-77.93737,-14.176056,-80.0,0.13739169,49.777231216430664,42.72569780814454
Overall Song,-77.73644,0.0,-80.0,5.782609,31.470019817352295,15.351710319519043
