Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-23.461973,-19.542479,-44.43527,13.532271,3.847154974937439,32.530970025526095
Low-Mid,-65.066505,-21.744133,-80.0,0.55761826,29.34617519378662,34.23284827476611
Low-High,-66.116905,-19.64617,-80.0,0.5914931,30.931885242462158,27.97538433168959
Mid-Low,-62.9004,-9.844978,-80.0,1.8978423,30.606868267059326,23.522191092813554
Mid-Mid,-55.28755,-3.8146973e-06,-80.0,8.196802,27.744159698486328,18.559490483943296
Mid-High,-55.67593,-0.049556732,-80.0,15.008553,22.440714836120605,17.681808777307214
High-Low,-63.225838,-6.0276375,-80.0,5.583156,25.051815509796143,23.318319341867955
High-Mid,-65.05975,-12.320484,-80.0,2.3533976,26.262657642364502,34.55477107704607
High-High,-73.21989,-17.481117,-80.0,0.5989686,32.987849712371826,31.127872361961817
Overall Song,-73.21923,-3.8146973e-06,-80.0,3.1037436,36.179330348968506,19.07306432723999
