Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-36.48526,-26.010933,-79.55299,4.7159014,9.572486877441406,19.147960054989344
Low-Mid,-50.066246,-24.828697,-80.0,3.1572013,14.239970445632935,18.611092982481917
Low-High,-45.456863,-9.886768,-80.0,10.256332,18.948103189468384,17.875189755513126
Mid-Low,-33.701183,0.0,-80.0,29.101013,19.776551723480225,16.260444988626958
Mid-Mid,-34.93144,-4.975788,-80.0,18.130043,18.910948038101196,16.26348180643863
Mid-High,-41.447575,-5.7211494,-80.0,15.65086,19.442801475524902,18.274719397270985
High-Low,-51.689526,-12.383335,-80.0,4.197225,24.212136268615723,22.570093768808
High-Mid,-62.70642,-22.83693,-80.0,1.0191687,26.052863597869873,26.87586862720213
High-High,-72.94405,-38.366043,-80.0,0.1518281,27.061631679534912,33.52264707264603
Overall Song,-71.974144,0.0,-80.0,4.094987,36.80966377258301,16.179611682891846
