Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-54.40685,-19.933218,-80.0,1.4823734,22.180590629577637,24.48821071399767
Low-Mid,-55.734364,-20.392973,-80.0,1.3659656,22.43119478225708,21.56078389732616
Low-High,-52.184357,-7.7518196,-80.0,5.7013507,22.661588191986084,20.691020108461764
Mid-Low,-38.77816,-0.23360825,-80.0,19.945765,19.302339553833008,16.623120818525702
Mid-Mid,-39.272686,-3.8146973e-06,-80.0,18.331615,20.268948078155518,20.56717479299222
Mid-High,-46.475445,-0.29606247,-80.0,7.7960978,27.39935874938965,21.80588349686257
High-Low,-48.36988,-3.3284187,-80.0,5.9502387,26.713855266571045,23.685808703611848
High-Mid,-53.768127,-6.7135277,-80.0,3.4397538,28.088886737823486,26.1069353575282
High-High,-60.112926,-9.639076,-80.0,2.1384718,29.291813373565674,29.081059860241876
Overall Song,-66.30533,-3.8146973e-06,-80.0,3.6187365,34.36182498931885,16.73391103744507
