Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-54.80929,-25.84227,-80.0,0.36290386,23.45027208328247,30.191099951437593
Low-Mid,-58.6431,-22.803381,-80.0,0.32065684,27.56418228149414,30.80865590889833
Low-High,-58.60698,-16.351803,-80.0,0.5490523,29.34429407119751,27.042012601799502
Mid-Low,-51.00633,-3.6500397,-80.0,2.7958782,27.907967567443848,28.674012116093593
Mid-Mid,-40.35367,0.0,-80.0,4.871072,26.73588275909424,28.379162351198246
Mid-High,-46.948994,-1.7548065,-80.0,4.534084,25.603773593902588,28.852759379278567
High-Low,-56.08863,-1.3702469,-80.0,1.9147252,33.47599744796753,30.15870535598044
High-Mid,-57.802498,-7.6707573,-80.0,0.8514027,34.214913845062256,30.804381381255016
High-High,-63.928215,-20.161016,-80.0,0.33337703,29.868643283843994,29.499028308915737
Overall Song,-67.548386,0.0,-80.0,1.0777808,39.83776330947876,27.358598709106445
