Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-62.389362,-18.494104,-80.0,0.8554137,32.72249698638916,38.15057500827747
Low-Mid,-65.40841,-14.962502,-80.0,0.8856183,35.95269441604614,38.05054995183844
Low-High,-65.65076,-15.643505,-80.0,0.7488691,36.728503704071045,23.266185842704488
Mid-Low,-53.78228,-7.756565,-80.0,9.457773,22.587783336639404,17.275062754543967
Mid-Mid,-47.522358,-4.369461,-80.0,15.400665,21.7398738861084,18.430275497217544
Mid-High,-48.424667,3.8146973e-06,-80.0,16.498466,25.511255264282227,22.15034851473341
High-Low,-54.677834,-4.09486,-80.0,6.332207,29.734163284301758,25.35879367993416
High-Mid,-59.329887,-13.597038,-80.0,2.040226,30.069520473480225,27.61046387363495
High-High,-64.43848,-19.53476,-80.0,1.1019021,29.482505321502686,30.290595671228118
Overall Song,-69.116066,3.8146973e-06,-80.0,3.611634,38.70605230331421,17.583948373794556
