Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-62.409863,-18.032352,-80.0,0.86006093,33.1173038482666,38.04570022930577
Low-Mid,-65.43655,-15.041161,-80.0,0.8876178,35.83456039428711,37.98992732867379
Low-High,-65.65683,-15.676491,-80.0,0.75119334,36.6487193107605,23.286709206704717
Mid-Low,-53.782246,-7.7744637,-80.0,9.461909,22.5462007522583,17.392217955611024
Mid-Mid,-47.47591,-4.3528366,-80.0,15.377182,21.749868392944336,18.458513047588653
Mid-High,-48.4184,0.0,-80.0,16.46763,25.507619380950928,22.135507826251526
High-Low,-54.694206,-4.1031685,-80.0,6.314817,29.7298526763916,25.34803360169486
High-Mid,-59.357197,-13.682255,-80.0,2.0365806,29.97995138168335,27.61829831461394
High-High,-64.451256,-19.50053,-80.0,1.0994157,29.516472816467285,30.292443383331257
Overall Song,-69.12669,0.0,-80.0,3.6048489,38.702499866485596,17.620989084243774
