Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-38.871788,-33.90986,-66.642845,2.9264011,4.912622272968292,25.872259388721428
Low-Mid,-70.632095,-37.628212,-80.0,0.19920702,24.534852504730225,22.298572185984792
Low-High,-68.060234,-24.878447,-80.0,0.74714804,25.802578926086426,16.942874709179353
Mid-Low,-52.485535,-5.211117,-80.0,16.767424,18.448715209960938,18.160373347022382
Mid-Mid,-53.50165,-2.3632774,-80.0,12.799045,23.642330169677734,24.16787627114635
Mid-High,-60.368465,3.8146973e-06,-80.0,8.304599,29.7627854347229,26.794089254805314
High-Low,-66.22406,-7.485111,-80.0,2.2237031,33.72251033782959,25.172333604429227
High-Mid,-66.77739,-12.228371,-80.0,1.6475887,31.583809852600098,30.790594949428733
High-High,-65.26636,-13.559372,-80.0,1.0481256,34.1815185546875,29.242226514691566
Overall Song,-70.31927,3.8146973e-06,-80.0,2.5320842,40.07959842681885,20.259177684783936
